,index,Solvent,dS (J/mol/K),Temp (C),BASE_State,BASE_Category,Monomer SMILES,Canonical SMILES,BASE_Monomer_State,BASE_Polymer_State
0,0,toluene,-43.8,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
1,1,,-40.7,27.0,ls,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,l,s
2,2,chlorobenzene,-34.0,27.0,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
3,3,dimethyl sulfoxide,-22.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
4,4,dimethylformamide,-43.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
5,5,dioxane,-25.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
6,6,gamma valerolactone,-46.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
7,7,dioxane,-41.0,,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
8,8,nitrobenzene,-25.0,40.0,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
9,9,"1,4-dioxane",-41.1,105.0,ss,ROP,C[C@H]1C(=O)O[C@H](C(=O)O1)C,C[C@@H]1OC(=O)[C@H](C)OC1=O,s,s
10,10,,-75.5,,ls,ROMP,C[Si](C)(C)C1CC2C=CC1C2,C[Si](C)(C)C1CC2C=CC1C2,l,s
11,11,toluene,-49.95,,ss,ROMP,C[Si](C)(OC1C=CCC1)C,C[Si](C)(C)OC1C=CCC1,s,s
12,12,dichloromethane,6.0,100.0,ss,cationic,C[Si](C)(C)OP1(=O)OCCCO1,C[Si](C)(C)OP1(=O)OCCCO1,s,s
13,13,,-18.1,25.0,ls,cationic,C[Si]1(C)C[Si](C)(C)C1,C[Si]1(C)C[Si](C)(C)C1,l,s
14,14,,-71.2,25.0,ls,cationic,C[Si]1(CCC1)C,C[Si]1(C)CCC1,l,s
15,15,,-20.9,,ls,cationic,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,l,s
16,16,,-3.03,,ls,cationic,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O1,l,s
17,17,,-57.4,,ls,cationic,C[Si]1(CCC1)C2=CC=CC=C2,C[Si]1(c2ccccc2)CCC1,l,s
18,18,,-96.5,,ls,vinyl,C/C=C/C,C/C=C/C,l,s
19,19,,-184.5,,gg,vinyl,C/C=C/C,C/C=C/C,g,g
20,20,,-182.0,327.0,gg,vinyl,C/C=C/C(C)C,C/C=C/C(C)C,g,g
21,21,,-130.0,25.0,ls,vinyl,C/C=C/C(C)C,C/C=C/C(C)C,l,s
22,22,,-110.0,,ls,vinyl,CC/C=C/C,C/C=C/CC,l,s
23,23,,-190.0,,gg,vinyl,CC/C=C/C,C/C=C/CC,g,g
24,24,,-101.5,,ls,vinyl,C/C=C\C,C/C=C\C,l,s
25,25,,-172.0,227.0,gg,vinyl,C/C=C\C,C/C=C\C,g,g
26,26,,-183.0,327.0,gg,vinyl,C/C=C\C(C)C,C/C=C\C(C)C,g,g
27,27,,-134.0,25.0,ls,vinyl,C/C=C\C(C)C,C/C=C\C(C)C,l,s
28,28,,-115.5,,ls,vinyl,CC/C=C\C,C/C=C\CC,l,s
29,29,,-190.0,,gg,vinyl,CC/C=C\C,C/C=C\CC,g,g
30,30,,-59.0,-173.0,ls,vinyl,C=C,C=C,l,s
31,31,,-311.0,227.0,gg,vinyl,C=C,C=C,g,g
32,33,"1,2-Dichlorobenzene",-130.0,127.0,ss,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC,s,s
33,34,,-113.43,,ls,vinyl,CC(=C)C(=O)OC,C=C(C)C(=O)OC,l,s
34,35,dichloromethane,-100.7,,ss,vinyl,CC1=C(C(=CC=C1)C)OC(=O)C(=C)C,C=C(C)C(=O)Oc1c(C)cccc1C,s,s
35,36,,-85.0,227.0,ls,vinyl,CC(=C)C(=O)OC1=CC=CC=C1C(=O)O,C=C(C)C(=O)Oc1ccccc1C(=O)O,l,s
36,37,,-126.0,120.0,ls,vinyl,CCOC(=O)C(=C)C,C=C(C)C(=O)OCC,l,s
37,38,benzonitrile,-151.0,127.0,ss,vinyl,CC(=C)C#N,C=C(C)C#N,s,s
38,39,tetrahydrofuran,-122.0,-5.0,ss,vinyl,CC(=C)C1=CC2=CC=CC=C2C=C1,C=C(C)c1ccc2ccccc2c1,s,s
39,40,toluene,-125.0,10.0,ss,vinyl,CC(=C)C1=CC2=CC=CC=C2C=C1,C=C(C)c1ccc2ccccc2c1,s,s
40,41,cyclohexane,-163.3,22.0,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,s,s
41,42,n-heptane,-51.0,-10.0,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,s,s
42,43,tetrahydrofuran,-130.0,-20.0,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,s,s
43,44,toluene,-47.0,-10.0,ss,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,s,s
44,45,,-109.392,,ls,vinyl,CC(=C)C1=CC=CC=C1,C=C(C)c1ccccc1,l,s
45,46,tetrahydrofuran,-70.0,20.0,ss,vinyl,CC(=C)C1=CC=CC=N1,C=C(C)c1ccccn1,s,s
46,47,tetrahydrofuran,-96.0,20.0,ss,vinyl,C=C(C)c1ncco1,C=C(C)c1ncco1,s,s
47,48,tetrahydrofuran,-69.0,20.0,ss,vinyl,CC(=C)C1=NC=CS1,C=C(C)c1nccs1,s,s
48,49,,-105.0,87.0,ls,vinyl,C=C(CC)C(OC)=O,C=C(CC)C(=O)OC,l,s
49,50,,-98.5,,ls,vinyl,C=C(Cl)Cl,C=C(Cl)Cl,l,s
50,51,,-193.0,,gg,vinyl,C=C(Cl)Cl,C=C(Cl)Cl,g,g
51,52,toluene,103.0,,ss,vinyl,CC(C)C1CCC(C)CC1OC(C(NC(C)=O)=C)=O,C=C(NC(C)=O)C(=O)OC1CC(C)CCC1C(C)C,s,s
52,53,,-109.5,25.0,ls,vinyl,C[Si](C)(C)(C=C),C=C[Si](C)(C)C,l,s
53,54,,-127.5,25.0,ls,vinyl,C[Si](C)(C=C)C1=CC=CC=C1,C=C[Si](C)(C)c1ccccc1,l,s
54,55,,-95.4,,ls,vinyl,C[Si](C)(CC1=CC=CC=C1)C=C,C=C[Si](C)(C)Cc1ccccc1,l,s
55,56,dimethylformamide,-108.8,83.0,ss,vinyl,C=C1CCCOC1=O,C=C1CCCOC1=O,s,s
56,57,dichloromethane-D,-40.1,,ss,vinyl,C=C1CCOC1=O,C=C1CCOC1=O,s,s
57,58,toluene,-81.2,,ss,vinyl,O=C1OC(C)(C(C)C)OC1=C,C=C1OC(C)(C(C)C)OC1=O,s,s
58,59,,-198.0,,gg,vinyl,CC=C,C=CC,g,g
59,60,,-114.5,,ls,vinyl,CC=C,C=CC,l,s
60,61,,-101.0,25.0,ls,misc,CC(=C)C=C,C=CC(=C)C,l,s
61,62,,-99.67,,ls,vinyl,CCOC(=O)C=C,C=CC(=O)OCC,l,s
62,63,,-109.0,25.0,ls,vinyl,C=CC#N,C=CC#N,l,s
63,64,,-86.5,,ls,misc,C=CC=C,C=CC=C,l,s
64,65,,-22.9,,ls,ROP,CC=C1CCC(OC1=O)C=C,C=CC1CCC(=CC)C(=O)O1,l,s
65,67,,-105.4,,ls,vinyl,C=CC1=CC=CC=C1,C=Cc1ccccc1,l,s
66,68,,-149.0,25.0,gg,vinyl,C=CC1=CC=CC=C1,C=Cc1ccccc1,g,g
67,69,,-93.0,,ls,vinyl,C=CC1CCCCC1,C=CC1CCCCC1,l,s
68,70,,-100.25,,ls,vinyl,CCC=C,C=CCC,l,s
69,71,,-182.0,227.0,gg,vinyl,CCC=C,C=CCC,g,g
70,72,,-121.0,,ls,vinyl,CC(C)CC=C,C=CCC(C)C,l,s
71,73,,-176.0,327.0,gg,vinyl,CC(C)CC=C,C=CCC(C)C,g,g
72,74,,-118.5,,ls,vinyl,CCCC=C,C=CCCC,l,s
73,75,,-194.0,,gg,vinyl,CCCC=C,C=CCCC,g,g
74,76,,-113.0,,ls,vinyl,CCCCC=C,C=CCCCC,l,s
75,77,,-168.0,25.0,gg,vinyl,CCCCCC=C,C=CCCCCC,g,g
76,78,,-92.67,,ls,vinyl,C=CCOC(=O)C=C,C=CCOC(=O)C=C,l,s
77,79,acetonitrile,-26.8,,ss,ROP,C1C(CC)(COCC=C)COC(=O)O1,C=CCOCC1(CC)COC(=O)OC1,s,s
78,80,toluene,-46.6,,ss,ROP,C1C(CC)(COCC=C)COC(=O)O1,C=CCOCC1(CC)COC(=O)OC1,s,s
79,81,,-6.9,,ls,ROP,C1C(CC)(COCC=C)COC(=O)O1,C=CCOCC1(CC)COC(=O)OC1,l,s
80,82,,-48.33,,ls,vinyl,C=CCOCCOC(=O)C=C,C=CCOCCOC(=O)C=C,l,s
81,83,pyridine,-28.1,,ss,ROP,C=CCOCCOCCOCCOC(=O)NC1C(=O)SC1(C)C,C=CCOCCOCCOCCOC(=O)NC1C(=O)SC1(C)C,s,s
82,84,,-109.6208,25.0,ls,vinyl,CC(=O)OC=C,C=COC(C)=O,l,s
83,85,,-135.98,,gg,ionic,C=O,C=O,g,g
84,86,dichloromethane,-14.2,,ss,ROMP,C/2=C/CC[C@@H]1CC[C@H]1CC2,C1=C\CC[C@@H]2CC[C@H]2CC/1,s,s
85,87,dichloromethane,-13.4,,ss,ROMP,C/2=C/CC[C@@H]1CCC[C@H]1CC2,C1=C\CC[C@@H]2CCC[C@H]2CC/1,s,s
86,88,dichloromethane,-13.8,,ss,ROMP,C/3=C/CC[C@@H]2OC1(CCCCC1)O[C@H]2CC3,C1=C\CC[C@@H]2OC3(CCCCC3)O[C@H]2CC/1,s,s
87,89,dichloromethane,-12.1,,ss,ROMP,C/2=C/CC[C@@H]1OCO[C@H]1CC2,C1=C\CC[C@@H]2OCO[C@H]2CC/1,s,s
88,90,dichloromethane,-13.8,,ss,ROMP,C12CC/C=C\CCC1OC3(CCCCC3)O2,C1=C\CCC2OC3(CCCCC3)OC2CC/1,s,s
89,91,toluene,-29.3,50.0,ss,ROMP,C1(SSS2)C2C3C(CC=C4)C4C1C3,C1=CC2C(C1)C1CC2C2SSSC12,s,s
90,92,,-75.5,,ls,ROMP,C1CC2CC1C=C2,C1=CC2CCC1C2,l,s
91,93,toluene,-98.0,60.0,ss,vinyl,C1=CC2=C3C(=C1)C=CC3=CC=C2,C1=Cc2cccc3cccc1c23,s,s
92,94,toluene,-79.9,,ss,ROMP,C1C=CCC1C2=CC=CC=C2,C1=CCC(c2ccccc2)C1,s,s
93,95,dichloromethane,-68.5,,ss,ROMP,C1(COCC2=CC=CC=C2)CC=CC1,C1=CCC(COCc2ccccc2)C1,s,s
94,96,tetrahydrofuran,-59.6,,ss,ROMP,C1(OCC2=CC=CC=C2)CC=CC1,C1=CCC(OCc2ccccc2)C1,s,s
95,97,,-131.0,25.0,gg,ROMP,C1CC=C1,C1=CCC1,g,g
96,98,,-52.0,25.0,ls,ROMP,C1CC=C1,C1=CCC1,l,s
97,99,tetrahydrofuran,-54.2,,ss,ROMP,C1CC=CC1,C1=CCCC1,s,s
98,100,,-54.0,73.0,ls,ROMP,C1CC=CC1,C1=CCCC1,l,s
99,101,toluene,-77.4,,ss,ROMP,C1=CCCC1,C1=CCCC1,s,s
100,102,toluene,-17.0,-65.0,ss,ROMP,C1CCC=CC1,C1=CCCCC1,s,s
101,103,,-36.0,51.0,ls,ROMP,C1CCC=CCC1,C1=CCCCCC1,l,s
102,104,,-9.0,57.0,ls,ROMP,C1CCCC=CCC1,C1=CCCCCCC1,l,s
103,105,,-69.0,25.0,ls,cyclic,C1CC1,C1CC1,l,s
104,106,,-55.0,25.0,ls,cyclic,C1CCC1,C1CCC1,l,s
105,107,,-43.0,25.0,ls,cationic,C1CCCC1,C1CCCC1,l,s
106,108,,-11.0,25.0,ls,cyclic,C1CCCCC1,C1CCCCC1,l,s
107,109,,-16.0,25.0,ls,cyclic,C1CCCCCC1,C1CCCCCC1,l,s
108,110,,-3.0,25.0,ls,cationic,C1CCCCCCC1,C1CCCCCCC1,l,s
109,111,,12.4,25.0,ls,cationic,C1CCCOCC1,C1CCCOCC1,l,s
110,112,,-91.8,25.0,gg,cationic,C1CCCOCC1,C1CCCOCC1,g,g
111,113,diethyl ether,-87.0,40.0,ss,cationic,C1CCOC1,C1CCOC1,s,s
112,114,,-131.33,,gg,cationic,C1CCOC1,C1CCOC1,g,g
113,115,,-67.0,40.0,ls,cationic,C1CCOC1,C1CCOC1,l,s
114,116,benzene,-39.0,60.0,ss,cationic,C1CCOCOC1,C1CCOCOC1,s,s
115,117,"1,2-dichloroethane",-43.0,0.0,ss,cationic,C1CCOCOC1,C1CCOCOC1,s,s
116,118,dichloromethane,-48.0,-30.0,ss,cationic,C1CCOCOC1,C1CCOCOC1,s,s
117,119,,-32.05,,ls,cationic,C1CCOCOC1,C1CCOCOC1,l,s
118,120,toluene,-26.0,75.0,ss,cationic,C1CCOCOC1,C1CCOCOC1,s,s
119,121,,-131.4,25.0,gg,cationic,C1CCOCOC1,C1CCOCOC1,g,g
120,122,,-10.2,25.0,ls,cationic,C1CCOCOCC1,C1CCOCOCC1,l,s
121,123,,-121.7,25.0,gg,cationic,C1CCOCOCC1,C1CCOCOCC1,g,g
122,124,,-51.9,27.0,ls,cationic,C1CN1,C1CN1,l,s
123,125,,-174.0,25.0,gg,cationic,C1CO1,C1CO1,g,g
124,126,,-68.4,25.0,ls,cationic,C1COC1,C1COC1,l,s
125,127,,-162.7,25.0,gg,cationic,C1COC1,C1COC1,g,g
126,128,gamma valerolactone,-78.0,,ss,cationic,C1COCO1,C1COCO1,s,s
127,129,,-48.5,,ls,cationic,C1COCO1,C1COCO1,l,s
128,130,benzene,-59.0,30.0,ss,cationic,C1COCO1,C1COCO1,s,s
129,131,chloromethane,-94.0,20.0,ss,cationic,C1COCO1,C1COCO1,s,s
130,132,dichloromethane,-78.0,0.0,ss,cationic,C1COCO1,C1COCO1,s,s
131,133,toluene,-22.0,75.0,ss,cationic,C1COCO1,C1COCO1,s,s
132,134,,-151.0,,gg,cationic,C1COCO1,C1COCO1,g,g
133,135,,-23.0,20.0,ls,cationic,C1COCOC1,C1COCOC1,l,s
134,136,benzene,-39.0,60.0,ss,cationic,C1COCOCCO1,C1COCOCCO1,s,s
135,137,toluene,-13.0,20.0,ss,cationic,C1COCOCCO1,C1COCOCCO1,s,s
136,138,,-8.0,25.0,ls,cationic,C1COCOCCO1,C1COCOCCO1,l,s
137,139,,-129.1,25.0,gg,cationic,C1COCOCCO1,C1COCOCCO1,g,g
138,140,,-51.0,25.0,gg,cationic,C1COOOO1,C1COOOO1,g,g
139,141,,3.0,27.0,ls,cationic,C1COOOO1,C1COOOO1,l,s
140,142,,-156.0,25.0,gg,cationic,C1OCOCO1,C1OCOCO1,g,g
141,143,"1,2-dichloroethane",-41.0,40.0,ss,cationic,C1OCOCO1,C1OCOCO1,s,s
142,144,nitrobenzene,-42.0,25.0,ss,cationic,C1OCOCO1,C1OCOCO1,s,s
143,145,,-18.0,25.0,ls,cationic,C1OCOCO1,C1OCOCO1,l,s
144,146,,-93.6,-80.0,ls,ionic,CC(=O)CCC=O,CC(=O)CCC=O,l,s
145,147,,293.3,,gg,ionic,CC(=O)O,CC(=O)O,g,g
146,148,toluene,-30.0,,ss,ROMP,C[Si](C(C)(C)C)(OC1C=CCC1)C,CC(C)(C)[Si](C)(C)OC1C=CCC1,s,s
147,149,tetrahydrofuran,-58.5,,ss,ROMP,C[Si](OC1CC=CC1)(C)C(C)(C)C,CC(C)(C)[Si](C)(C)OC1CC=CC1,s,s
148,150,dichloromethane+chloroform,-40.4,,ss,ROP,CC(C)(C)OC(=O)N1CC2CC1C(=O)S2,CC(C)(C)OC(=O)N1CC2CC1C(=O)S2,s,s
149,151,tetrahydrofuran,-90.0,-65.0,ss,ionic,CC(C)(Cl)C=O,CC(C)(Cl)C=O,s,s
150,152,toluene,-27.4,,ss,cationic,C[C@@H]1CC[C@H](C(=O)C1)C(C)C,CC(C)[C@@H]1CC[C@@H](C)CC1=O,s,s
151,153,,-188.0,25.0,gg,ionic,CC(=O)C,CC(C)=O,g,g
152,154,,-48.9,,ls,ionic,CC(=S)C,CC(C)=S,l,s
153,155,diethyl ether,-78.0,-65.0,ss,ionic,CC(C)C=O,CC(C)C=O,s,s
154,156,n-pentane,-94.0,65.0,ss,ionic,CC(C)C=O,CC(C)C=O,s,s
155,157,tetrahydrofuran,-74.0,-65.0,ss,ionic,CC(C)C=O,CC(C)C=O,s,s
156,158,,-60.7,80.0,ls,cationic,CC(C)C1COCO1,CC(C)C1COCO1,l,s
157,159,tetrahydrofuran,-74.0,-65.0,ss,ionic,CC(C=O)(Cl)Cl,CC(Cl)(Cl)C=O,s,s
158,160,toluene,-80.0,,ss,ROMP,CC[Si](CC)(OC1C=CCC1)CC,CC[Si](CC)(CC)OC1C=CCC1,s,s
159,161,,-25.0,25.0,ls,cationic,CC[Si]1(O[Si](O[Si](O1)(CC)CC)(CC)CC)CC,CC[Si]1(CC)O[Si](CC)(CC)O[Si](CC)(CC)O1,l,s
160,162,,-17.5,,ls,ionic,CC=O,CC=O,l,s
161,163,,-93.0,25.0,ls,cationic,CC1(C)CC1,CC1(C)CC1,l,s
162,164,,-75.0,25.0,ls,cyclic,CC1(C)CCC1,CC1(C)CCC1,l,s
163,165,,-66.0,25.0,ls,cationic,CC1(C)CCCC1,CC1(C)CCCC1,l,s
164,166,,-36.0,25.0,ls,cyclic,CC1(C)CCCCC1,CC1(C)CCCCC1,l,s
165,167,toluene,-44.6,,ss,ROP,C1CCOC(=O)C(C)(C)1,CC1(C)CCCOC1=O,s,s
166,168,,16.2,,ls,ROP,O=C(OCC(C)(C)COC(C1=CC=C(C(OCC(C)(C)COC2=O)=O)C=C1)=O)C3=CC=C2C=C3,CC1(C)COC(=O)c2ccc(cc2)C(=O)OCC(C)(C)COC(=O)c2ccc(cc2)C(=O)OC1,l,s
167,169,,-24.0,147.0,ls,ROP,CC1(C)COC(=O)OC1,CC1(C)COC(=O)OC1,l,s
168,170,tetrahydrofuran,-43.9,,ss,ROP,CC1(C)COC(=O)OC1,CC1(C)COC(=O)OC1,s,s
169,171,,-54.8,80.0,ls,cationic,CC1(C)COCO1,CC1(C)COCO1,l,s
170,172,dichloromethane,-20.5,,ss,ROMP,CC2(C)O[C@H]1CC/C=C\CC[C@@H]1O2,CC1(C)O[C@H]2CC/C=C\CC[C@@H]2O1,s,s
171,173,dichloromethane,-20.5,,ss,ROMP,CC1(C)OC2CC/C=C\CCC2O1,CC1(C)OC2CC/C=C\CCC2O1,s,s
172,174,toluene,-64.8,,ss,ROP,CC2(C)Oc1ccccc1COC2=O,CC1(C)Oc2ccccc2COC1=O,s,s
173,175,tetrahydrofuran,-40.6,,ss,ROP,CC2(c1ccccc1)COC(=O)OC2,CC1(c2ccccc2)COC(=O)OC1,s,s
174,176,toluene,-29.7,,ls,ROP,CC1CC(C)(C)COC(=O)C1,CC1CC(=O)OCC(C)(C)C1,l,s
